Date,aportes,volumen_util,porcentaje_util
2021-01-02,124.7643,12162.1061,0.71863
2021-01-03,131.5504,12162.884,0.71867
2021-01-04,106.5009,12119.5957,0.71612
2021-01-05,108.0407,12072.1131,0.71331
2021-01-06,105.5714,12020.4547,0.71026
2021-01-07,114.0857,11979.1088,0.70781
2021-01-08,130.36,11965.8698,0.70703
2021-01-09,125.3714,11950.1185,0.7061
2021-01-10,158.5331,11961.2747,0.70676
2021-01-11,197.0652,12022.4363,0.71037
2021-01-12,141.9759,12003.3496,0.70925
2021-01-13,112.2466,11945.7835,0.70585
2021-01-14,95.1201,11870.2379,0.70138
2021-01-15,82.7822,11781.1282,0.69612
2021-01-16,80.1107,11696.2937,0.6911
2021-01-17,78.4832,11637.9566,0.68766
2021-01-18,71.193,11533.6653,0.68149
2021-01-19,69.7245,11444.5683,0.67623
2021-01-20,66.8775,11357.5576,0.67109
2021-01-21,65.2805,11259.7846,0.66531
2021-01-22,70.0438,11181.5595,0.66069
2021-01-23,91.2963,11139.764,0.65822
2021-01-24,90.7542,11115.1948,0.65677
2021-01-25,98.8405,11072.3446,0.65424
2021-01-26,89.5244,11013.6089,0.65077
2021-01-27,75.01,10942.8216,0.64658
2021-01-28,70.3191,10863.5339,0.6419
2021-01-29,69.3087,10770.9018,0.63642
2021-01-30,63.4537,10690.5968,0.63168
2021-01-31,59.1457,10624.7827,0.62779
2021-02-01,63.6557,10539.0379,0.62272
2021-02-02,76.7605,10451.2836,0.61754
2021-02-03,72.1365,10388.0743,0.6138
2021-02-04,67.1424,10299.5471,0.60857
2021-02-05,93.2939,10241.624,0.60515
2021-02-06,79.9086,10173.9884,0.60115
2021-02-07,63.4836,10113.2668,0.59757
2021-02-08,68.3745,10029.6506,0.59263
2021-02-09,95.0759,9995.1697,0.59059
2021-02-10,103.1232,9931.9206,0.58685
2021-02-11,86.8544,9863.2077,0.58279
2021-02-12,80.7929,9796.6153,0.57886
2021-02-13,77.342,9734.6601,0.5752
2021-02-14,71.5999,9685.0783,0.57227
2021-02-15,90.6947,9631.2281,0.56908
2021-02-16,68.8678,9550.632,0.56432
2021-02-17,70.1784,9461.9973,0.55909
2021-02-18,77.6513,9386.2314,0.55461
2021-02-19,95.2736,9339.7756,0.55186
2021-02-20,87.3406,9280.5895,0.54837
2021-02-21,94.8501,9253.3534,0.54676
2021-02-22,105.0335,9214.572,0.54447
2021-02-23,94.8812,9161.1072,0.54131
2021-02-24,85.3516,9089.9455,0.5371
2021-02-25,125.4798,9063.1697,0.53552
2021-02-26,146.3252,9040.6449,0.53419
2021-02-27,145.6941,9054.5731,0.53501
2021-02-28,121.747,9053.0263,0.53492
2021-03-01,124.9394,9034.5008,0.53383
2021-03-02,152.6926,9042.6145,0.5343
2021-03-03,142.9879,9031.3348,0.53364
2021-03-04,122.7543,8999.4548,0.53175
2021-03-05,132.6009,8974.9134,0.5303
2021-03-06,111.0965,8966.1242,0.52979
2021-03-07,157.2669,9012.4743,0.53252
2021-03-08,220.456,9076.5568,0.53631
2021-03-09,130.3826,9059.1988,0.53528
2021-03-10,138.8121,9030.9604,0.53362
2021-03-11,131.0127,8994.6969,0.53147
2021-03-12,186.3901,9032.1508,0.53369
2021-03-13,188.1663,9077.1908,0.53635
2021-03-14,154.4757,9096.6524,0.5375
2021-03-15,186.6836,9127.4695,0.53932
2021-03-16,240.9332,9190.1141,0.54302
2021-03-17,223.8842,9250.9466,0.54661
2021-03-18,284.9076,9347.4408,0.55232
2021-03-19,238.8865,9391.2029,0.5549
2021-03-20,258.3022,9457.3132,0.55881
2021-03-21,227.0786,9511.8112,0.56203
2021-03-22,228.5888,9571.4479,0.56555
2021-03-23,191.7553,9573.3319,0.56566
2021-03-24,262.5035,9636.4303,0.56939
2021-03-25,176.273,9633.2781,0.56921
2021-03-26,209.6948,9663.3231,0.57098
2021-03-27,221.2062,9716.9949,0.57415
2021-03-28,160.9228,9731.1579,0.57499
2021-03-29,181.142,9729.4501,0.57489
2021-03-30,235.4209,9783.5305,0.57808
2021-03-31,185.303,9794.8261,0.57875
2021-04-01,165.2097,9806.823,0.57946
2021-04-02,147.2359,9819.3608,0.5802
2021-04-03,186.8736,9868.4293,0.5831
2021-04-04,186.2558,9924.2429,0.5864
2021-04-05,210.957,9944.8589,0.58762
2021-04-06,248.3828,10018.1971,0.59195
2021-04-07,180.8985,10033.1626,0.59283
2021-04-08,171.884,10038.4563,0.59315
2021-04-09,274.9503,10150.0712,0.59974
2021-04-10,178.2086,10165.4949,0.60065
2021-04-11,164.527,10180.5716,0.60154
2021-04-12,320.5496,10340.5284,0.611
2021-04-13,172.9938,10338.834,0.6109
2021-04-14,153.9175,10317.3641,0.60963
2021-04-15,179.1343,10316.4884,0.60957
2021-04-16,177.0486,10331.4747,0.61046
2021-04-17,214.62,10376.5354,0.61312
2021-04-18,176.2696,10403.6006,0.61472
2021-04-19,156.0165,10396.5592,0.61431
2021-04-20,121.9294,10344.8555,0.61125
2021-04-21,131.2317,10313.3968,0.60939
2021-04-22,118.2936,10261.579,0.60633
2021-04-23,152.0452,10272.7235,0.60699
2021-04-24,142.2871,10259.6549,0.60622
2021-04-25,115.137,10245.1383,0.60536
2021-04-26,124.9705,10209.9387,0.60328
2021-04-27,182.0311,10242.9079,0.60523
2021-04-28,184.2999,10287.759,0.60788
2021-04-29,255.3434,10398.7603,0.61444
2021-04-30,394.2234,10629.6587,0.62808
2021-05-01,238.9165,10717.4082,0.63326
2021-05-02,318.5013,10892.3786,0.6436
2021-05-03,413.27,11156.3398,0.6592
2021-05-04,389.4351,11340.1079,0.67006
2021-05-05,373.7163,11927.628,0.70477
2021-05-06,311.0739,11598.408,0.68532
2021-05-07,315.431,11701.538,0.69141
2021-05-08,344.8644,11852.6599,0.70034
2021-05-09,324.6824,12021.8606,0.71034
2021-05-10,423.1624,12248.0572,0.72371
2021-05-11,291.08,12337.4207,0.72899
2021-05-12,259.0721,12414.1249,0.73352
2021-05-13,251.9268,12478.14,0.7373
2021-05-14,213.6022,12514.3086,0.73944
2021-05-15,223.7828,12564.2628,0.74239
2021-05-16,277.3894,12686.1956,0.74959
2021-05-17,415.4056,12936.8823,0.76441
2021-05-18,417.0907,13127.0596,0.77564
2021-05-19,260.5308,13173.8632,0.77841
2021-05-20,200.4195,13152.6283,0.77715
2021-05-21,169.1807,13110.5235,0.77467
2021-05-22,210.8994,13120.9142,0.77528
2021-05-23,248.2638,13164.443,0.77785
2021-05-24,241.2221,13186.8456,0.77918
2021-05-25,379.5447,13278.979,0.78462
2021-05-26,310.2872,13317.1201,0.78687
2021-05-27,276.7019,13363.9399,0.78964
2021-05-28,228.7354,13374.387,0.79026
2021-05-29,265.619,13422.1602,0.79308
2021-05-30,294.4946,13493.1508,0.79728
2021-05-31,330.6261,13563.5126,0.80143
2021-06-01,495.4497,13761.999,0.81316
2021-06-02,360.7486,13798.709,0.81533
2021-06-03,301.8462,13795.5212,0.81514
2021-06-04,250.8117,13764.586,0.81331
2021-06-05,210.5023,13703.4077,0.8097
2021-06-06,264.7725,13725.4438,0.811
2021-06-07,261.8419,13708.9182,0.81002
2021-06-08,372.71,13827.6564,0.81946
2021-06-09,413.482,13885.8628,0.82291
2021-06-10,305.5023,13874.6802,0.82224
2021-06-11,305.7339,13897.0929,0.82357
2021-06-12,393.1851,13972.1144,0.82802
2021-06-13,386.5689,14061.1511,0.83329
2021-06-14,399.1327,14133.3456,0.83757
2021-06-15,335.3832,14138.0276,0.83785
2021-06-16,288.3361,14132.6338,0.83753
2021-06-17,273.5519,14108.2612,0.83609
2021-06-18,261.1661,14109.1035,0.83614
2021-06-19,280.8804,14129.9549,0.83737
2021-06-20,491.6628,14321.3779,0.84872
2021-06-21,438.9692,14415.6301,0.8543
2021-06-22,333.0346,14409.0411,0.85391
2021-06-23,254.0051,14380.0749,0.85219
2021-06-24,352.1621,14401.7801,0.85348
2021-06-25,253.3053,14376.3192,0.85197
2021-06-26,242.1588,14349.3919,0.85038
2021-06-27,207.514,14314.1094,0.84828
2021-06-28,224.426,14272.4316,0.84581
2021-06-29,231.6849,14240.5202,0.84392
2021-06-30,214.5178,14217.4363,0.84256
2021-07-01,198.0098,14204.0317,0.84176
2021-07-02,207.3816,14205.9751,0.84164
2021-07-03,156.5863,14129.5893,0.83711
2021-07-04,148.281,14108.9828,0.83589
2021-07-05,142.1019,14081.0585,0.83424
2021-07-06,143.2785,14037.8335,0.83269
2021-07-07,156.5593,13976.4052,0.82905
2021-07-08,237.783,14013.8271,0.83127
